Epoca,Accuracy,Precision,Recall,FPR
0,75.798437,82.936856,64.961917,13.365042
100,86.477232,85.224995,88.254715,15.300252
200,87.459547,86.834027,88.308653,13.389559
300,88.622471,87.822524,89.679971,12.435030
400,89.965186,89.378835,90.709686,10.779314
500,90.795495,91.052484,90.482495,8.891504
600,91.419862,92.090621,90.623059,7.783335
700,91.724690,92.576470,90.724396,7.275016
800,91.937988,93.322302,90.340296,6.464320
900,92.052401,93.712092,90.153967,6.049165
1000,92.086725,93.505331,90.456343,6.282894
1100,92.040960,93.471243,90.395868,6.313949
1200,92.179890,93.789558,90.341931,5.982152
1300,92.076918,94.116841,89.764964,5.611127
1400,92.031970,94.135516,89.648916,5.584976
1500,92.020529,93.937996,89.838515,5.797457
1600,92.058122,94.088822,89.755157,5.638913
1700,92.092445,94.406318,89.487104,5.302213
1800,92.107156,94.188679,89.751888,5.537576
1900,92.219934,94.216022,89.962734,5.522866
2000,92.190514,94.041972,90.088588,5.707561
2100,92.268968,93.939445,90.368082,5.830146
2200,92.340885,94.266917,90.165408,5.483639
2300,92.338433,94.637349,89.763329,5.086463
2400,92.424242,94.460432,90.134353,5.285868
2500,92.448759,94.823956,89.799287,4.901768
2600,92.363767,94.538956,89.921872,5.194338
2700,92.443856,94.715363,89.903893,5.016181
2800,92.398091,94.296448,90.255304,5.459122
2900,92.502697,94.723445,90.019941,5.014547
3000,92.492073,94.345416,90.402406,5.418260
3100,92.571345,94.542874,90.358275,5.215586
3200,92.504331,94.173603,90.614887,5.606224
3300,92.590958,94.523801,90.420385,5.238469
3400,92.577065,94.056861,90.897650,5.743519
3500,92.653068,94.629908,90.438364,5.132228
3600,92.613841,94.474771,90.521722,5.294041
