Epoca,Accuracy,Precision,Recall,FPR
0,59.126867,63.850580,42.074466,23.820732
100,64.425812,67.516075,55.604590,26.752967
200,74.946063,76.283387,72.402014,22.509889
300,78.845902,81.803110,74.196659,16.504854
400,81.429996,83.823193,77.892191,15.032199
500,83.705175,86.059769,80.440326,13.029976
600,85.019287,87.138375,82.166323,12.127750
700,86.015495,88.592896,82.676277,10.645288
800,86.940603,89.278763,83.964238,10.083031
900,87.442385,90.321048,83.872708,8.987938
1000,87.719427,90.440725,84.354876,8.916021
1100,88.048773,90.674797,84.820699,8.723154
1200,88.262071,91.493699,84.367951,7.843810
1300,88.486810,91.406415,84.961263,7.987643
1400,88.646988,91.914841,84.748782,7.454807
1500,88.785100,91.971629,84.989049,7.418849
1600,88.878265,91.630642,85.572554,7.816024
1700,88.955902,91.961268,85.374783,7.462979
1800,89.062142,91.705640,85.892910,7.768625
1900,89.156942,92.231350,85.516982,7.203099
2000,89.195352,92.255643,85.574188,7.183485
2100,89.181459,92.323446,85.469583,7.106665
2200,89.215782,92.147701,85.737635,7.306070
2300,89.251741,91.682577,86.335850,7.832369
2400,89.305678,92.009643,86.087411,7.476055
2500,89.415187,91.898325,86.451898,7.621523
2600,89.390670,92.219964,86.040012,7.258671
2700,89.393122,92.394153,85.853682,7.067438
2800,89.300775,91.770898,86.344023,7.742473
2900,89.351443,91.890246,86.321140,7.618254
3000,89.438887,92.554186,85.778497,6.900722
3100,89.572096,92.198557,86.460070,7.315877
3200,89.482201,92.329934,86.118466,7.154065
3300,89.469942,92.823323,85.554575,6.614691
3400,89.465039,92.341955,86.067798,7.137720
3500,89.569645,92.779771,85.817724,6.678435
3600,89.484652,92.216416,86.249224,7.279919
3700,89.494459,92.088624,86.412670,7.423752
3800,89.458501,92.771469,85.585630,6.668628
3900,89.447060,92.020545,86.384884,7.490765
4000,89.517342,92.173246,86.368540,7.333856
4100,89.600700,92.147517,86.579386,7.377987
4200,89.603151,92.682497,85.995881,6.789579
