Epoca,Accuracy,Precision,Recall,FPR
0,52.089852,51.071531,99.606899,95.427196
100,73.477738,66.190871,95.980746,49.025271
200,97.284396,96.438702,98.194946,3.626153
300,97.994384,98.257643,97.721621,1.732852
400,97.665463,98.019882,97.296430,1.965503
500,96.722824,97.628394,95.772162,2.326514
600,96.145207,96.342249,95.932611,3.642198
700,95.611713,96.062546,95.122343,3.898917
800,94.781388,94.435599,95.170477,5.607702
900,94.199759,94.406383,93.967108,5.567589
1000,93.273165,94.912573,91.448055,4.901725
1100,93.176895,94.238040,91.977537,5.623746
1200,94.199759,94.927832,93.389491,4.989972
1300,92.651424,94.028986,91.087044,5.784196
1400,92.478941,94.110297,90.629763,5.671881
1500,91.692740,91.115506,92.394705,9.009226
1600,91.724830,92.701149,90.581629,7.131970
1700,91.387886,90.834257,92.065784,9.290012
1800,91.716807,92.428198,90.878460,7.444846
1900,90.461292,91.637084,89.049338,8.126755
2000,90.497393,90.006340,91.111111,10.116326
2100,89.987966,88.227625,92.290413,12.314481
2200,89.414360,89.949585,88.744485,9.915764
2300,89.209787,90.362540,87.781789,9.362214
2400,88.467710,88.700565,88.166867,11.231448
2500,88.656237,88.581952,88.752507,11.440032
2600,88.351384,91.407536,84.661051,7.958283
2700,87.862014,89.490419,85.800241,10.076213
2800,88.347373,86.179231,91.343763,14.649017
2900,87.557160,90.057329,84.436422,9.322102
