Epoca,Accuracy,Precision,Recall,FPR
0,57.372643,53.984910,99.879663,85.134376
100,67.023666,60.760649,96.125150,62.077818
200,94.689130,95.469758,93.830726,4.452467
300,95.812274,96.385346,95.194545,3.569996
400,96.718813,96.681363,96.758925,3.321300
500,96.237465,97.659803,94.745287,2.270357
600,95.587645,96.635207,94.464501,3.289210
700,94.901725,95.674882,94.055355,4.251905
800,94.632972,94.426256,94.865624,5.599679
900,94.099479,92.891698,95.507421,7.308464
1000,94.067389,95.098522,92.924188,4.789410
1100,94.243883,93.749008,94.809467,6.321701
1200,93.955074,94.071750,93.822704,5.912555
1300,92.904132,93.479675,92.242278,6.434015
1400,92.855997,91.753947,94.175692,8.463698
1500,92.314481,90.309515,94.801444,10.172483
1600,92.045728,90.785992,93.590052,9.498596
1700,91.640594,91.882514,91.351785,8.070598
1800,91.941436,92.649698,91.111111,7.228239
1900,91.247493,90.455583,92.226233,9.731247
2000,91.299639,91.422594,91.151223,8.551945
2100,90.292820,88.679245,92.378660,11.793020
2200,89.430405,88.646014,90.445247,11.584436
2300,89.767349,89.117740,90.597673,11.062976
2400,89.819495,90.102610,89.466506,9.827517
2500,90.140393,89.344971,91.151223,10.870437
2600,88.728440,88.487603,89.041316,11.584436
2700,87.962294,90.828300,84.452467,8.527878
2800,87.982351,86.789960,89.602888,13.638187
2900,87.757722,84.634631,92.266346,16.750903
3000,87.874047,85.241863,91.608504,15.860409
3100,87.605295,85.703405,90.268753,15.058163
3200,87.099880,88.021047,85.888488,11.688728
3300,87.725632,83.567706,93.918973,18.467710
3400,87.805856,84.210526,93.060570,17.448857
3500,87.476935,84.989888,91.030886,16.077016
3600,86.770959,88.899262,84.035299,10.493381
3700,86.887284,88.645150,84.612916,10.838347
3800,86.606498,88.840654,83.730445,10.517449
3900,86.839150,89.531680,83.433614,9.755315
4000,86.357802,89.477352,82.406739,9.691135
4100,86.478139,87.430030,85.206578,12.250301
4200,86.253510,87.083538,85.134376,12.627357
4300,86.606498,83.389434,91.423987,18.210991
4400,86.590453,87.806698,84.981949,11.801043
4500,86.293622,87.681159,84.452467,11.865223
4600,86.642599,87.901419,84.981949,11.696751
4700,86.803049,81.535712,95.154432,21.548335
4800,86.622543,88.200837,84.556759,11.311673
4900,86.213398,87.729856,84.203771,11.776976
5000,86.337746,87.964127,84.195748,11.520257
5100,86.281588,88.290577,83.658243,11.095066
5200,86.225431,88.244262,83.586041,11.135178
5300,86.401925,81.451445,94.271961,21.468111
5400,85.892499,87.889566,83.257120,11.472122
5500,86.028881,88.020657,83.409547,11.351785
5600,85.808263,87.964617,82.968311,11.351785
5700,86.056959,88.228290,83.217008,11.103089
5800,86.113117,86.672098,85.350983,13.124749
5900,85.740072,87.856900,82.944244,11.464099
6000,85.740072,87.709497,83.128761,11.648616
6100,85.611713,87.849591,82.655435,11.432010
6200,86.032892,86.951872,84.789410,12.723626
6300,85.711994,86.472757,84.669073,13.245086
6400,85.499398,86.491836,84.139591,13.140794
6500,85.531488,86.853054,83.738468,12.675491
6600,85.531488,86.615410,84.051344,12.988367
6700,85.571600,86.711376,84.019254,12.876053
6800,85.896510,86.787799,84.685118,12.892098
6900,85.695949,87.162783,83.722423,12.330525
7000,85.507421,86.895632,83.626153,12.611312
7100,85.483353,86.505447,84.083434,13.116727
7200,85.531488,86.877602,83.706378,12.643402
7300,85.399118,86.669991,83.666266,12.868030
7400,85.395106,86.306781,84.139591,13.349378
7500,85.535499,87.144654,83.369434,12.298436
7600,85.238668,86.896262,82.992379,12.515042
7700,85.298837,86.875629,83.160850,12.563177
7800,85.523466,87.392332,83.024469,11.977537
7900,85.326915,86.778585,83.353389,12.699559
8000,85.142399,85.495503,84.645006,14.360209
8100,85.214601,87.202305,82.543121,12.113919
8200,85.691937,85.752170,85.607702,14.223827
8300,85.354994,85.574750,85.046129,14.336141
8400,85.214601,87.221233,82.519053,12.089852
8500,85.407140,85.509695,85.262736,14.448456
8600,85.202567,87.230613,82.478941,12.073807
8700,85.744083,85.957550,85.447252,13.959085
8800,85.066185,85.704950,84.171681,14.039310
8900,85.042118,85.622248,84.227838,14.143602
9000,85.246691,85.734038,84.564781,14.071400
9100,85.110309,85.480340,84.588849,14.368231
9200,84.973927,85.428688,84.332130,14.384276
9300,84.765343,85.074868,84.324108,14.793422
9400,84.857601,85.365457,84.139591,14.424388
9500,85.114320,85.349701,84.781388,14.552748
9600,85.054152,85.918619,83.850782,13.742479
9700,84.997994,85.778725,83.906939,13.910951
9800,84.869635,86.975755,82.021661,12.282391
9900,85.090253,85.474453,84.548736,14.368231
