Epoca,Accuracy,Precision,Recall,FPR
0,60.406773,64.117647,47.264093,26.450547
100,66.188313,67.883212,61.449515,29.072889
200,67.530456,69.845722,61.697295,26.636382
300,69.636589,72.882579,62.543878,23.270700
400,71.505265,75.773323,63.225274,20.214743
500,72.971299,77.408229,64.877142,18.934545
600,73.559777,78.539270,64.835846,17.716292
700,74.592195,80.367160,65.083626,15.899236
800,74.788354,80.789946,65.042329,15.465620
900,75.180673,81.815810,64.753252,14.391906
1000,75.665910,82.556312,65.083626,13.751807
1100,75.542019,83.559414,63.596944,12.512905
1200,75.542019,84.418475,62.647120,11.563081
1300,75.304563,84.337349,62.151559,11.542432
1400,74.303118,86.781250,57.340491,8.734256
1500,74.685113,86.795937,58.228371,8.858146
1600,74.540574,87.646500,57.134008,8.052860
1700,74.592195,87.452830,57.423085,8.238695
1800,74.747058,87.488270,57.753459,8.259343
1900,74.437332,87.111947,57.361140,8.486475
2000,74.168904,87.479987,56.411315,8.073508
2100,74.468305,87.264151,57.299195,8.362585
2200,74.065662,87.951807,55.771216,7.639893
2300,74.086310,87.568438,56.142887,7.970266
2400,74.189552,88.422434,55.667974,7.288871
2500,73.921123,87.748452,55.606029,7.763783
2600,74.065662,86.410497,57.113359,8.982036
2700,73.900475,87.302610,55.936403,8.135453
2800,73.879827,87.102984,56.060293,8.300640
2900,74.148255,86.904386,56.865579,8.569069
3000,73.931447,87.147436,56.142887,8.279992
3100,74.065662,86.005561,57.485030,9.353706
3200,74.148255,86.834646,56.927524,8.631014
3300,73.952096,86.593060,56.679744,8.775552
3400,73.900475,86.827871,56.349370,8.548420
3500,73.910799,86.346516,56.803634,8.982036
3600,74.199876,86.329820,57.505678,9.105926
3700,74.406360,86.617100,57.732810,8.920091
3800,74.158579,86.700125,57.072063,8.754904
3900,74.024365,86.032828,57.361140,9.312410
4000,74.241173,86.895035,57.092711,8.610365
4100,74.086310,86.555939,57.030766,8.858146
4200,74.199876,86.785938,57.092711,8.692959
4300,74.127607,86.504217,57.175305,8.920091
4400,73.786909,86.899423,56.018996,8.445179
4500,74.086310,86.856240,56.762337,8.589717
4600,74.272145,86.953788,57.113359,8.569069
4700,74.365063,86.737235,57.526327,8.796201
4800,74.261821,86.833856,57.195953,8.672311
4900,74.447656,86.408364,58.021887,9.126574
5000,74.406360,86.960600,57.423085,8.610365
5100,74.251497,86.418605,57.546975,9.043981
5200,74.468305,86.416718,58.063184,9.126574
5300,74.220524,86.725110,57.195953,8.754904
5400,74.230849,86.074393,57.815404,9.353706
5500,74.137931,86.691777,57.030766,8.754904
5600,74.230849,86.614665,57.319843,8.858146
5700,74.137931,86.622807,57.092711,8.816849
5800,74.850299,85.659259,59.694404,9.993805
5900,74.912244,85.621494,59.880240,10.055751
