Epoca,Accuracy,Precision,Recall,FPR
0,52.783367,59.041394,18.175721,12.608987
100,52.494970,65.448505,10.570087,5.580148
200,50.000000,-nan,0.000000,0.000000
300,50.000000,-nan,0.000000,0.000000
400,50.000000,-nan,0.000000,0.000000
500,55.083836,69.760167,17.947686,7.780013
600,55.600268,75.441804,16.606304,5.405768
700,55.687458,75.268176,16.941650,5.566734
800,55.955734,75.844005,17.478203,5.566734
900,55.835010,72.081218,19.047619,7.377599
1000,55.975855,75.856065,17.531858,5.580148
1100,55.835010,72.081218,19.047619,7.377599
1200,55.975855,75.856065,17.531858,5.580148
1300,56.445339,76.444689,18.631791,5.741113
1400,56.445339,76.444689,18.631791,5.741113
1500,55.955734,75.546605,17.612341,5.700872
1600,56.445339,76.444689,18.631791,5.741113
1700,56.445339,76.444689,18.631791,5.741113
1800,56.445339,76.444689,18.631791,5.741113
1900,56.445339,76.444689,18.631791,5.741113
2000,56.445339,76.444689,18.631791,5.741113
2100,56.445339,76.444689,18.631791,5.741113
2200,56.445339,76.444689,18.631791,5.741113
2300,55.835010,72.081218,19.047619,7.377599
2400,56.445339,76.444689,18.631791,5.741113
2500,56.445339,76.444689,18.631791,5.741113
2600,56.445339,76.444689,18.631791,5.741113
2700,56.445339,76.444689,18.631791,5.741113
2800,56.445339,76.444689,18.631791,5.741113
2900,56.445339,76.444689,18.631791,5.741113
3000,56.445339,76.444689,18.631791,5.741113
3100,56.445339,76.444689,18.631791,5.741113
3200,56.445339,76.444689,18.631791,5.741113
3300,56.445339,76.444689,18.631791,5.741113
3400,56.445339,76.444689,18.631791,5.741113
3500,54.681422,98.607242,9.496982,0.134138
3600,56.445339,76.444689,18.631791,5.741113
3700,56.445339,76.444689,18.631791,5.741113
3800,56.445339,76.444689,18.631791,5.741113
3900,56.445339,76.444689,18.631791,5.741113
4000,54.701543,97.948016,9.604292,0.201207
4100,54.708249,97.950820,9.617706,0.201207
4200,54.701543,97.948016,9.604292,0.201207
4300,54.708249,97.950820,9.617706,0.201207
4400,54.741784,97.834912,9.698189,0.214621
4500,54.748491,97.708895,9.725017,0.228035
4600,54.701543,97.948016,9.604292,0.201207
4700,54.721663,97.956403,9.644534,0.201207
4800,54.694836,97.425474,9.644534,0.254863
4900,54.721663,97.956403,9.644534,0.201207
5000,54.708249,97.950820,9.617706,0.201207
