Epoca,Accuracy,Precision,Recall,FPR
0,50.080483,52.380952,1.770624,1.609658
100,56.968478,66.424281,28.182428,14.245473
200,58.175721,71.916577,26.827632,10.476190
300,58.101945,71.633238,26.827632,10.623742
400,58.101945,71.633238,26.827632,10.623742
500,57.706237,71.222756,25.861838,10.449363
600,56.016097,69.801325,21.207243,9.175050
700,56.069752,69.563338,21.582830,9.443327
800,54.721663,64.251012,21.287726,11.844400
900,54.681422,63.783570,21.663313,12.300469
1000,54.292421,61.552347,22.870557,14.285714
1100,54.580818,62.140064,23.447351,14.285714
1200,54.580818,62.140064,23.447351,14.285714
1300,54.580818,62.140064,23.447351,14.285714
1400,54.580818,62.140064,23.447351,14.285714
1500,54.580818,62.140064,23.447351,14.285714
1600,54.701543,62.354600,23.729041,14.325956
1700,54.701543,62.354600,23.729041,14.325956
1800,54.701543,62.354600,23.729041,14.325956
1900,54.701543,62.354600,23.729041,14.325956
2000,55.077129,63.083305,24.480215,14.325956
2100,55.077129,63.083305,24.480215,14.325956
2200,55.077129,63.083305,24.480215,14.325956
2300,55.023474,62.980936,24.372904,14.325956
2400,55.023474,62.980936,24.372904,14.325956
2500,55.077129,63.083305,24.480215,14.325956
2600,55.077129,63.083305,24.480215,14.325956
2700,55.077129,63.083305,24.480215,14.325956
2800,55.077129,63.074266,24.493628,14.339370
2900,55.077129,63.074266,24.493628,14.339370
3000,55.043595,63.010381,24.426559,14.339370
3100,55.077129,63.074266,24.493628,14.339370
3200,55.077129,63.074266,24.493628,14.339370
3300,55.043595,63.010381,24.426559,14.339370
3400,55.043595,63.010381,24.426559,14.339370
3500,55.043595,63.010381,24.426559,14.339370
3600,55.043595,63.010381,24.426559,14.339370
3700,55.043595,63.010381,24.426559,14.339370
3800,55.043595,63.010381,24.426559,14.339370
3900,55.043595,63.010381,24.426559,14.339370
4000,55.043595,63.010381,24.426559,14.339370
4100,55.050302,63.032191,24.426559,14.325956
4200,55.043595,63.010381,24.426559,14.339370
4300,55.043595,63.010381,24.426559,14.339370
4400,55.043595,63.019391,24.413146,14.325956
4500,55.043595,63.010381,24.426559,14.339370
4600,55.043595,63.019391,24.413146,14.325956
4700,55.036888,63.006581,24.399732,14.325956
4800,55.043595,63.010381,24.426559,14.339370
4900,55.043595,63.010381,24.426559,14.339370
5000,55.043595,63.010381,24.426559,14.339370
